"","Kecemasan","GM","Emosi","Aman","MATHMEAN"
"947",2,3,-0.8203,0.0251,294.829
"948",4,3,-0.3242,-0.756,420.5228
"950",5,2,-0.2891,0.4417,361.3111
"952",3,2,0.1531,0.1329,390.7156
"953",6,2,1.0394,-0.756,351.2799
"954",4,3,0.774,-0.756,316.2094
"955",3,2,-1.5011,-0.756,472.0163
"957",2,3,0.4014,1.1246,378.0743
"958",5,3,0.1229,1.1246,347.7668
"960",4,1,0.2475,1.1246,440.3902
"961",4,4,2.8756,0.3221,333.0875
"962",4,3,-2.3561,-0.756,461.7714
"963",8,1,0.7392,1.1246,522.0325
"966",4,3,0.2283,0.6942,398.1553
"969",4,4,-1.2801,-0.039,351.4369
"971",2,3,-0.5295,1.1246,371.2343
"972",6,3,0.4442,-0.756,342.404
"974",3,4,-0.1274,1.1246,369.9363
"975",4,3,0.0106,0.6942,349.7487
"976",5,2,-0.4523,-0.756,516.4419
"977",4,2,-0.7219,-0.756,334.6369
"978",4,2,-0.3677,-0.756,473.6759
"979",3,3,0.6132,1.1246,310.7789
"980",4,1,-0.1068,-1.6365,430.738
"982",4,3,-0.2626,-0.756,271.8629
"983",2,3,0.3951,-0.756,353.058
"984",5,3,-0.1552,1.1246,388.846
"985",2,4,1.4251,1.1246,312.478
"987",4,2,0.0922,-0.756,393.4951
"991",2,2,0.5394,-0.756,536.4026
"992",6,2,0.7516,-1.1042,304.1148
"993",4,3,0.4,-0.756,297.2292
"994",4,3,-0.5241,-0.756,312.8511
"995",4,2,-0.0824,0.4417,498.8374
"996",4,3,0.0284,-1.1042,335.2736
"999",4,3,-0.7434,0.6942,295.3408
"1001",4,3,-0.0367,-0.756,405.5396
"1003",4,3,-0.6121,-0.756,377.664
